Timestamp(ms),SkinTemp(C),IR_Value
Timestamp(ms),SkinTemp(C),IR_Value
29,25.19,312
2046,23.71,270
4066,42.11,49247
6083,41.37,48374
8100,39.67,47898
10120,38.81,47711
12137,38.11,47668
14155,37.45,47894
16173,36.89,47796
18190,36.49,47670
20209,36.17,47650
22226,35.89,47482
24244,35.61,47705
26263,35.29,47387
28280,35.15,47365
30298,35.09,46784
32317,34.81,46260
34334,34.71,46110
36352,34.59,46162
38371,34.45,45938
40388,34.43,45994
42407,34.25,46354
44424,34.23,45602
46441,34.09,45828
48460,34.13,46681
50478,34.15,47381
52497,34.13,46917
54514,34.09,46751
56534,33.99,46525
58551,34.07,45794
60568,34.01,46055
62587,34.03,46799
64605,34.07,47291
66622,34.07,46762
68640,34.01,46801
70658,33.95,46636
72677,34.01,46521
74694,33.87,46816
76711,33.87,47108
78731,33.93,47161
80748,33.95,47015
82767,33.93,47241
84785,33.95,46580
86802,33.91,46621
88821,33.99,47190
90839,34.01,47058
92858,34.07,47210
94875,33.99,46966
96893,34.01,46616
98911,33.93,47080
100930,34.01,46671
102947,34.01,46293
104967,34.15,47049
106984,34.07,47275
109001,34.07,47054
111021,33.99,47142
113038,33.99,46712
115057,33.95,46844
117074,33.91,46460
119094,33.95,46290
121111,33.85,46975
123128,33.85,47506
125148,33.79,47508
127165,33.79,47329
129184,33.73,47211
131202,33.77,47206
133219,33.65,47248
135238,33.63,46843
137255,33.61,46906
139273,33.57,46937
141291,33.71,46570
143309,33.63,46426
145328,33.71,46511
147345,33.85,46512
149362,33.93,46620
151382,34.23,46610
153399,34.31,46609
155416,34.83,46521
157435,35.07,46608
159453,35.31,46639
161472,35.45,46353
163489,35.75,46540
165507,35.71,46659
167526,35.77,46656
169543,36.09,46588
171563,36.37,45880
173580,36.55,46295
175599,36.73,46329
177616,36.73,46615
179634,36.63,46438
181653,36.77,46578
183670,36.81,46312
185690,36.89,46133
187707,37.03,46176
189726,37.13,46214
191744,37.29,46533
193761,37.19,46520
195780,25.05,264
197796,23.85,173
