Sample,IR_Value,SkinTemp(C)
1,280,38.5
2,285,38.7
3,290,38.9
4,275,38.6
5,295,39.1
6,280,38.8
7,285,38.4
8,290,39.0
9,275,38.7
10,295,38.9
11,280,38.6
12,285,39.2
13,290,38.8
14,275,38.5
15,295,39.0
16,280,38.7
17,285,38.9
18,290,38.6
19,275,39.1
20,295,38.8
21,280,38.5
22,285,38.9
23,290,39.0
24,275,38.7
25,295,38.6
26,280,39.2
27,285,38.8
28,290,38.5
29,275,38.9
30,295,39.1
31,280,38.7
32,285,38.6
33,290,39.0
34,275,38.8
35,295,38.5
36,280,38.9
37,285,39.2
38,290,38.7
39,275,38.6
40,295,39.0
41,280,38.8
42,285,38.5
43,290,38.9
44,275,39.1
45,295,38.7
46,280,38.6
47,285,39.0
48,290,38.8
49,275,38.5
50,295,38.9
51,280,39.2
52,285,38.7
53,290,38.6
54,275,39.0
55,295,38.8
56,280,38.5
57,285,38.9
58,290,39.1
59,275,38.7
60,295,38.6
61,280,39.0
62,285,38.8
63,290,38.5
64,275,38.9
65,295,39.2
66,280,38.7
67,285,38.6
68,290,39.0
69,275,38.8
70,295,38.5
71,280,38.9
72,285,39.1
73,290,38.7
74,275,38.6
75,295,39.0
76,280,38.8
77,285,38.5
78,290,38.9
79,275,39.2
80,295,38.7
81,280,38.6
82,285,39.0
83,290,38.8
84,275,38.5
85,295,38.9
86,280,39.1
87,285,38.7
88,290,38.6
89,275,39.0
90,295,38.8
91,280,38.5
92,285,38.9
93,290,39.2
94,275,38.7
95,295,38.6
96,280,39.0
97,285,38.8
98,290,38.5
99,275,38.9
100,295,39.1 
